1172,721.286,15,25,0,31.94
1487,854.857,11,25,0,31.94
0,854.857,7,21,0,31.94
0,854.857,9,20,0,29.17
4068,1214.857,12,39,0.286,29.17
1445,1321.286,13,42,17,29.17
2823,1570.714,12,57,22,29.17
2613,1776.571,10,40,30,29.17
3105,2007.714,8,58,30.857,29.17
0,2007.714,13,59,34.714,29.17
0,2007.714,13,58,41.857,29.17
8737,2674.714,12,78,46.286,29.17
3008,2898,13,81,56.714,32.87
5596,3294.143,13,76,61.143,35.65
5256,3671.714,12,91,61.857,35.65
6634,4175.857,13,68,64.571,35.65
0,4175.857,13,87,63.714,35.65
0,4175.857,10,85,71.143,35.65
17440,5419.143,18,83,77.429,35.65
5949,5839.286,12,89,79.714,35.65
8616,6270.714,8,102,84,35.65
9386,6860.714,9,85,86.429,35.65
9207,7228.286,12,77,86,37.5
0,7228.286,12,81,85.286,37.5
0,7228.286,13,88,90.571,37.5
21926,7869.143,15,83,93,37.5
6126,7894.429,12,102,93.143,59.26
10073,8102.571,12,79,94.714,59.26
10128,8208.571,8,80,96.714,59.26
9409,8237.429,8,76,97.143,59.26
0,8237.429,8,76,98.143,59.26
0,8237.429,3,95,98,59.26
17309,7577.857,6,89,92,59.26
5980,7557,6,84,89.714,59.26
8270,7299.429,9,71,90,59.26
6924,6841.714,6,87,82.714,59.26
6739,6460.286,5,85,84.286,59.26
0,6460.286,6,81,84.857,59.26
0,6460.286,4,89,84.714,59.26
12839,5821.714,5,88,90.286,59.26
4560,5618.857,2,86,93.143,59.26
6114,5310.857,4,76,96,59.26
5007,5037,3,74,103.143,59.26
4946,4780.857,6,92,100.429,59.26
0,4780.857,7,62,99.857,59.26
0,4780.857,7,73,97.143,57.41
9751,4339.714,8,93,93.286,57.41
4241,4294.143,9,77,95,57.41
4876,4117.286,9,81,91.857,57.41
4509,4046.143,10,84,90.714,57.41
4312,3955.571,9,82,93.143,57.41
0,3955.571,7,82,90.857,57.41
0,3955.571,4,96,94.143,57.41
8782,3817.143,5,84,96.143,57.41
3802,3754.429,5,86,95.571,57.41
4786,3741.571,1,79,94.714,57.41
4455,3733.857,2,87,90.429,57.41
4382,3743.857,7,74,89.429,57.41
0,3743.857,8,92,91,57.41
0,3743.857,9,83,89.571,57.41
9809,3890.571,9,81,94,57.41
4262,3956.286,8,77,92.857,57.41
